scenario,task_count,hub_count,handoff_service_min,paired_seed_count,valid_pair_count,baseline_on_time_count_mean,relay_on_time_count_mean,delta_on_time_count_mean,baseline_distance_km_mean,relay_distance_km_mean,delta_distance_km_mean,lexicographic_wins,lexicographic_ties,lexicographic_losses,relay_count_mean
MZ,50,1,1.0,10,10,6.2,5.9,-0.3,665.3424785169625,695.3153242841928,29.972845767230297,1,0,9,1.2
MZ,50,1,2.0,10,10,6.2,5.9,-0.3,665.3424785169625,701.9122517125156,36.56977319555317,1,0,9,1.4
MZ,50,2,0.0,10,10,6.2,5.8,-0.4,665.3424785169625,703.411555570303,38.069077053340536,0,0,10,1.5
MZ,50,2,0.5,10,10,6.2,5.9,-0.3,665.3424785169625,701.8325178449365,36.490039327974,1,0,9,1.4
MZ,50,2,1.0,10,10,6.2,5.9,-0.3,665.3424785169625,702.832760522027,37.49028200506452,1,0,9,1.2
MZ,50,2,2.0,10,10,6.2,5.9,-0.3,665.3424785169625,700.0278293141332,34.68535079717071,1,0,9,1.5
MZ,50,4,0.0,10,10,6.2,5.9,-0.3,665.3424785169625,705.0812989980129,39.73882048105048,0,0,10,0.9
MZ,50,4,0.5,10,10,6.2,5.8,-0.4,665.3424785169625,703.7621408100118,38.41966229304929,0,0,10,0.9
MZ,50,4,1.0,10,10,6.2,5.8,-0.4,665.3424785169625,702.4856187607147,37.143140243752235,0,0,10,0.9
MZ,50,4,2.0,10,10,6.2,5.8,-0.4,665.3424785169625,702.2220593486311,36.87958083166867,0,0,10,0.9
MZ,50,8,0.0,10,10,6.2,5.9,-0.3,665.3424785169625,699.4612806320604,34.118802115097836,1,0,9,0.5
MZ,50,8,0.5,10,10,6.2,5.8,-0.4,665.3424785169625,703.1423303577363,37.79985184077386,1,0,9,0.7
MZ,50,8,1.0,10,10,6.2,5.9,-0.3,665.3424785169625,701.442376043906,36.09989752694353,1,0,9,0.6
MZ,50,8,2.0,10,10,6.2,5.9,-0.3,665.3424785169625,703.4795089679716,38.13703045100907,1,0,9,0.7
U,50,1,0.0,10,10,9.1,8.4,-0.7,550.1309837070683,563.7771628731139,13.64617916604568,1,2,7,1.0
U,50,1,0.5,10,10,9.1,8.4,-0.7,550.1309837070683,563.5701288068705,13.439145099802284,1,2,7,1.1
U,50,1,1.0,10,10,9.1,8.4,-0.7,550.1309837070683,564.9559176633613,14.824933956293217,1,2,7,1.0
U,50,1,2.0,10,10,9.1,8.4,-0.7,550.1309837070683,564.9559176633613,14.824933956293217,1,2,7,1.0
U,50,2,0.0,10,10,9.1,8.4,-0.7,550.1309837070683,564.4699165611007,14.338932854032521,1,1,8,0.8
U,50,2,0.5,10,10,9.1,8.4,-0.7,550.1309837070683,565.3243920003673,15.193408293299171,1,1,8,0.9
U,50,2,1.0,10,10,9.1,8.4,-0.7,550.1309837070683,565.6411868626818,15.510203155613635,1,1,8,0.7
U,50,2,2.0,10,10,9.1,8.4,-0.7,550.1309837070683,565.3243920003673,15.193408293299171,1,1,8,0.9
U,50,4,0.0,10,10,9.1,8.4,-0.7,550.1309837070683,565.5359032828937,15.404919575825568,2,1,7,1.0
U,50,4,0.5,10,10,9.1,8.4,-0.7,550.1309837070683,565.312766234312,15.181782527243877,2,1,7,0.9
U,50,4,1.0,10,10,9.1,8.4,-0.7,550.1309837070683,565.312766234312,15.181782527243877,2,1,7,0.9
U,50,4,2.0,10,10,9.1,8.4,-0.7,550.1309837070683,565.312766234312,15.181782527243877,2,1,7,0.9
U,50,8,0.0,10,10,9.1,8.4,-0.7,550.1309837070683,565.6801440759292,15.54916036886102,2,1,7,0.7
U,50,8,0.5,10,10,9.1,8.4,-0.7,550.1309837070683,565.6271069931184,15.496123286050306,2,1,7,0.7
U,50,8,1.0,10,10,9.1,8.4,-0.7,550.1309837070683,566.7200774073091,16.58909370024089,2,1,7,0.6
U,50,8,2.0,10,10,9.1,8.4,-0.7,550.1309837070683,566.7200774073091,16.58909370024089,2,1,7,0.6
