scenario,task_count,method,hub_count,handoff_service_min,run_count,valid_run_count,on_time_count_mean,on_time_count_min,on_time_count_max,on_time_rate_mean,distance_km_mean,distance_km_min,distance_km_max,runtime_seconds_mean,relay_count_mean
G,50,static-relay,8,2.0,10,10,3.8,3.0,4.0,0.076,1172.779414814127,1137.816292050262,1205.9139073607457,0.8133720706042368,0.6
MIX,50,baseline,0,0.0,10,10,15.0,12.0,17.0,0.3,417.4006245849258,352.248146605811,555.3227693935191,0.8008527334954124,0.0
MIX,50,static-relay,1,0.0,10,10,14.1,11.0,16.0,0.282,439.4582961965305,371.45552755648055,577.8256033309599,0.8019135542039294,1.3
MIX,50,static-relay,1,0.5,10,10,14.1,11.0,16.0,0.282,437.09513835090473,366.93375464320286,576.35911247502,0.8018071836093441,1.8
MIX,50,static-relay,1,1.0,10,10,13.9,11.0,16.0,0.278,440.8739372089496,365.42790891024345,536.0026773074551,0.8015468874946237,1.3
MIX,50,static-relay,1,2.0,10,10,14.1,11.0,16.0,0.282,439.6747871040985,365.42790891024345,536.0026773074551,0.8010215122892987,1.8
MIX,50,static-relay,2,0.0,10,10,13.8,11.0,16.0,0.276,438.0907017097922,371.45552755648055,540.1624973085175,0.8042216707137413,1.0
MIX,50,static-relay,2,0.5,10,10,13.9,11.0,16.0,0.278,433.5692464507765,365.8520334386742,570.0254706239726,0.8033487750915811,1.1
MIX,50,static-relay,2,1.0,10,10,14.0,11.0,16.0,0.27999999999999997,439.12573317377854,365.8520334386742,570.0254706239726,0.8035091248922981,1.1
MIX,50,static-relay,2,2.0,10,10,14.0,11.0,16.0,0.27999999999999997,432.2393932685517,360.80653711510314,570.0254706239726,0.8030105499958153,1.3
MIX,50,static-relay,4,0.0,10,10,13.8,11.0,16.0,0.276,439.7086555048577,371.45552755648055,567.2034671929689,0.8061634500045329,1.0
MIX,50,static-relay,4,0.5,10,10,14.0,11.0,16.0,0.27999999999999997,434.09196465595625,371.45552755648055,548.8686370826559,0.8041032085020561,1.2
MIX,50,static-relay,4,1.0,10,10,13.8,11.0,16.0,0.276,435.42704981829337,367.2489060186531,540.1624973085175,0.8093473123968579,1.0
MIX,50,static-relay,4,2.0,10,10,14.0,11.0,16.0,0.28,437.1187471371353,367.44098310961795,567.2034671929689,0.8055276249884628,1.1
MIX,50,static-relay,8,0.0,10,10,14.0,11.0,16.0,0.27999999999999997,436.0655074931804,369.9671986777632,577.2277840733525,0.8130824083054904,0.7
MIX,50,static-relay,8,0.5,10,10,13.8,11.0,16.0,0.276,437.7983126044734,370.15927576872804,550.2450165064272,0.8109200208913535,0.6
MIX,50,static-relay,8,1.0,10,10,14.0,11.0,16.0,0.27999999999999997,440.289507801246,369.9671986777632,550.8573580322051,0.8101830083003734,0.7
MIX,50,static-relay,8,2.0,10,10,14.1,11.0,16.0,0.282,437.15523335899223,371.33055688644697,577.2277840733525,0.8115991375059821,0.8
MZ,50,baseline,0,0.0,10,10,6.2,5.0,8.0,0.124,665.3424785169625,619.5889326407267,730.8734000006641,0.8017567123170011,0.0
MZ,50,static-relay,1,0.0,10,10,5.9,4.0,8.0,0.118,700.9936025595499,626.2275248032126,820.9383254448145,0.8007987875083927,1.1
MZ,50,static-relay,1,0.5,10,10,5.9,4.0,8.0,0.118,698.0120259109245,626.2275248032126,798.7380864032426,0.8017637292155996,1.4
MZ,50,static-relay,1,1.0,10,10,5.9,4.0,8.0,0.118,695.3153242841928,626.2275248032126,798.7380864032426,0.8013359416043386,1.2
MZ,50,static-relay,1,2.0,10,10,5.9,4.0,8.0,0.118,701.9122517125156,626.2275248032126,798.7380864032426,0.8012586251017637,1.4
MZ,50,static-relay,2,0.0,10,10,5.8,4.0,7.0,0.11600000000000002,703.411555570303,626.9600142042914,789.1986647911478,0.8027030083059798,1.5
MZ,50,static-relay,2,0.5,10,10,5.9,4.0,8.0,0.118,701.8325178449365,626.9600142042914,789.1986647911478,0.8027556666987948,1.4
MZ,50,static-relay,2,1.0,10,10,5.9,4.0,8.0,0.118,702.832760522027,626.9600142042914,819.1305616946116,0.8023711498943158,1.2
MZ,50,static-relay,2,2.0,10,10,5.9,4.0,8.0,0.118,700.0278293141332,626.9600142042914,789.1986647911478,0.8037249458138831,1.5
MZ,50,static-relay,4,0.0,10,10,5.9,4.0,8.0,0.118,705.0812989980129,626.9600142042914,805.6625721097921,0.8043654458888341,0.9
MZ,50,static-relay,4,0.5,10,10,5.8,4.0,7.0,0.11600000000000002,703.7621408100118,626.9600142042914,805.6625721097921,0.8051526956085582,0.9
MZ,50,static-relay,4,1.0,10,10,5.8,4.0,7.0,0.11600000000000002,702.4856187607147,626.9600142042914,805.6625721097921,0.8046206832863391,0.9
MZ,50,static-relay,4,2.0,10,10,5.8,4.0,7.0,0.11600000000000002,702.2220593486311,626.9600142042914,805.6625721097921,0.8055090665002353,0.9
MZ,50,static-relay,8,0.0,10,10,5.9,4.0,8.0,0.118,699.4612806320604,626.9600142042914,805.6625721097921,0.8096955584012904,0.5
MZ,50,static-relay,8,0.5,10,10,5.8,4.0,7.0,0.11600000000000002,703.1423303577363,626.9600142042914,805.6625721097921,0.8116118956066203,0.7
MZ,50,static-relay,8,1.0,10,10,5.9,4.0,8.0,0.118,701.442376043906,626.9600142042914,805.6625721097921,0.8077485168003478,0.6
MZ,50,static-relay,8,2.0,10,10,5.9,4.0,8.0,0.118,703.4795089679716,626.9600142042914,805.6625721097921,0.8111692166072316,0.7
U,50,baseline,0,0.0,10,10,9.1,7.0,12.0,0.182,550.1309837070683,465.51492430935605,604.7955346468897,0.8032069249893539,0.0
U,50,static-relay,1,0.0,10,10,8.4,7.0,10.0,0.16799999999999998,563.7771628731139,483.5836386817448,625.3370290421287,0.80150933759287,1.0
U,50,static-relay,1,0.5,10,10,8.4,7.0,10.0,0.16799999999999998,563.5701288068705,483.5836386817448,632.0663481148796,0.8012939707143232,1.1
U,50,static-relay,1,1.0,10,10,8.4,7.0,10.0,0.16799999999999998,564.9559176633613,483.5836386817448,632.0663481148796,0.8014283125870861,1.0
U,50,static-relay,1,2.0,10,10,8.4,7.0,10.0,0.16799999999999998,564.9559176633613,483.5836386817448,632.0663481148796,0.8014569414954167,1.0
U,50,static-relay,2,0.0,10,10,8.4,7.0,10.0,0.16799999999999998,564.4699165611007,485.3875593788631,623.5215937222131,0.8025176501076203,0.8
U,50,static-relay,2,0.5,10,10,8.4,7.0,10.0,0.16799999999999998,565.3243920003673,485.3875593788631,632.0663481148796,0.8025657291116659,0.9
U,50,static-relay,2,1.0,10,10,8.4,7.0,10.0,0.16799999999999998,565.6411868626818,485.3875593788631,623.5215937222131,0.8027401626051869,0.7
U,50,static-relay,2,2.0,10,10,8.4,7.0,10.0,0.16799999999999998,565.3243920003673,485.3875593788631,632.0663481148796,0.8023743041034322,0.9
U,50,static-relay,4,0.0,10,10,8.4,7.0,10.0,0.16799999999999998,565.5359032828937,485.3875593788631,632.0663481148796,0.805859741702443,1.0
U,50,static-relay,4,0.5,10,10,8.4,7.0,10.0,0.16799999999999998,565.312766234312,485.3875593788631,632.0663481148796,0.8047235290927347,0.9
U,50,static-relay,4,1.0,10,10,8.4,7.0,10.0,0.16799999999999998,565.312766234312,485.3875593788631,632.0663481148796,0.8047920290962793,0.9
U,50,static-relay,4,2.0,10,10,8.4,7.0,10.0,0.16799999999999998,565.312766234312,485.3875593788631,632.0663481148796,0.8029716166027356,0.9
U,50,static-relay,8,0.0,10,10,8.4,7.0,10.0,0.16799999999999998,565.6801440759292,481.43311871463857,632.3337425731479,0.8110062543011736,0.7
U,50,static-relay,8,0.5,10,10,8.4,7.0,10.0,0.16799999999999998,565.6271069931184,481.43311871463857,632.3337425731479,0.8159330001042691,0.7
U,50,static-relay,8,1.0,10,10,8.4,7.0,10.0,0.16799999999999998,566.7200774073091,481.43311871463857,632.3337425731479,0.8099605251045432,0.6
U,50,static-relay,8,2.0,10,10,8.4,7.0,10.0,0.16799999999999998,566.7200774073091,481.43311871463857,632.3337425731479,0.8129961125960108,0.6
