task_i,task_j,S_ij_km
2,58,0.985677
2,59,0.065541
2,60,1.993594
2,61,-0.827565
2,62,4.961695
2,63,1.966539
2,64,7.817483
2,65,3.183057
2,66,2.530061
2,67,6.542293
2,68,0.753253
2,69,3.099548
2,70,6.539236
2,71,4.53474
2,72,1.481644
2,73,-0.273428
2,74,3.198355
2,75,-0.212784
2,76,-1.224567
2,77,-1.847969
2,78,4.603141
2,79,4.453177
2,80,2.784892
2,81,-2.527699
2,82,5.906955
2,83,0.239599
2,84,0.946669
2,85,7.073814
2,86,0.706159
2,87,3.514963
2,88,0.391646
2,89,2.266056
2,90,3.254943
2,91,2.811564
2,92,-0.46586
2,93,-0.095148
2,94,0.531102
2,95,-5.541923
2,96,2.478333
2,97,1.304119
2,98,3.731425
2,99,5.406566
2,100,-0.425967
2,101,2.946744
2,102,-2.287147
2,103,0.077679
2,104,-0.826156
2,105,0.061113
2,106,5.22238
2,107,-0.032466
2,108,7.243885
2,109,6.416119
2,110,0.077054
2,111,0.836566
2,112,1.770541
2,113,7.18648
2,114,1.333556
2,115,0.600308
2,116,-0.754698
2,117,3.907398
2,118,0.873295
2,119,1.232156
2,120,6.46406
2,121,1.951634
2,122,1.048925
2,123,3.499562
2,124,4.048459
2,125,-0.262204
2,126,2.488738
2,127,2.706814
2,128,4.033919
2,129,-0.559185
2,130,1.803528
2,131,-1.09945
2,132,-0.707996
2,133,3.925266
2,134,0.192051
2,135,0.369916
2,136,3.404883
2,137,4.915074
2,138,1.417228
2,139,1.304152
2,140,1.334457
2,141,1.867676
2,142,0.688813
2,143,4.597595
2,144,3.851885
2,145,5.703279
2,146,-1.032449
2,147,0.35716
2,148,-0.017616
2,149,0.00114
2,150,2.620785
2,151,2.22507
2,152,1.973952
2,153,-0.878554
2,154,2.123976
2,155,1.467532
2,156,-0.208478
2,157,6.262721
2,158,6.276506
2,159,-0.838721
2,160,1.330025
2,161,1.400018
2,162,1.336098
2,163,4.404203
2,164,5.977684
2,165,3.663901
2,166,4.347703
2,167,2.846168
2,168,0.881
2,169,-3.660887
2,170,-0.184803
2,171,-3.879143
2,172,0.10358
2,173,3.082096
2,174,2.455901
2,175,0.026079
2,176,3.66391
2,177,5.023763
2,178,4.67708
2,179,2.229455
2,180,1.179134
2,181,0.367452
2,182,8.303746
2,183,0.14942
2,184,-0.003294
2,185,0.327764
2,186,-0.493559
2,187,0.555225
2,188,-0.346527
2,189,-1.045411
2,190,-0.197812
2,191,1.793137
2,192,5.168423
2,193,0.248329
2,194,0.05371
2,195,4.413978
2,196,0.527402
2,197,7.113
2,198,4.375915
2,199,5.412176
2,200,-5.444251
3,4,0.566869
3,5,4.236021
3,6,6.424323
3,7,12.452622
3,8,10.688068
3,9,4.948536
3,10,3.745959
3,11,-1.884891
3,12,5.21065
3,13,0.674892
3,14,-0.76223
3,15,13.151608
3,16,4.917176
3,17,3.588685
3,18,0.788839
3,19,0.368483
3,20,0.875976
3,21,-0.227172
3,22,-0.08169
3,23,3.860659
3,24,7.168555
3,25,3.096731
3,26,0.16414
3,27,2.612564
3,28,0.09509
3,29,4.355911
3,30,-0.622721
3,31,9.371104
3,32,-0.017655
3,33,0.108584
3,34,5.356289
3,35,1.662976
3,36,1.772707
3,37,4.630428
3,38,0.662073
3,39,0.06931
3,40,0.673842
3,41,11.669325
3,42,-1.53023
3,43,0.387896
3,44,2.201314
3,45,4.931547
3,46,-0.43417
3,47,2.114985
3,48,10.113381
3,49,-0.912365
3,50,3.253613
3,51,0.346186
3,52,-0.398602
3,53,3.546058
3,54,0.292036
3,55,-1.526891
3,56,-0.486315
3,57,4.178419
3,58,-0.334661
3,59,0.957336
3,60,2.907336
3,61,1.046177
3,62,7.95858
3,63,11.627695
3,64,4.374573
3,65,0.291779
3,66,0.937525
3,67,1.815609
3,68,0.077208
3,69,3.118534
3,70,4.664297
3,71,0.485158
3,72,8.353126
3,73,0.014566
3,74,-0.083587
3,75,5.052543
3,76,3.065875
3,77,1.211651
3,78,10.831558
3,79,8.204648
3,80,3.559114
3,81,0.069929
3,82,13.186491
3,83,-0.448918
3,84,4.819137
3,85,5.677567
3,86,0.216849
3,87,-0.08337
3,88,5.033593
3,89,0.132807
3,90,0.183782
3,91,5.924156
3,92,-1.765553
3,93,0.576955
3,94,0.104633
3,95,-0.020734
3,96,9.535587
3,97,1.556976
3,98,12.35094
3,99,1.40106
3,100,6.469711
3,101,6.37095
3,102,0.006575
3,103,3.085029
3,104,3.433916
3,105,3.178106
3,106,1.081429
3,107,-1.79823
3,108,4.902412
3,109,7.448961
3,110,2.435037
3,111,0.148857
3,112,8.293039
3,113,4.352882
3,114,6.440433
3,115,1.005771
3,116,2.071603
3,117,0.78906
3,118,-1.559116
3,119,-0.35747
3,120,2.114294
3,121,-1.832638
3,122,3.301705
3,123,-0.167152
3,124,11.302866
3,125,1.363894
3,126,-0.206799
3,127,1.225918
3,128,1.45416
3,129,-1.319214
3,130,2.304438
3,131,1.606921
3,132,2.527785
3,133,0.376399
3,134,-2.143459
3,135,0.662613
3,136,11.143785
3,137,10.43051
3,138,4.700163
3,139,-0.399727
3,140,0.157724
3,141,0.621921
3,142,0.319636
3,143,2.417374
3,144,-0.531797
3,145,12.621266
3,146,0.154575
3,147,0.042867
3,148,0.30011
3,149,1.501837
3,150,7.233219
3,151,0.023326
3,152,3.936737
3,153,3.81307
3,154,-0.281188
3,155,0.116941
3,156,3.056108
3,157,4.003277
3,158,4.332666
3,159,0.597824
3,160,1.164009
3,161,5.465487
3,162,-0.995297
3,163,8.512136
3,164,1.248304
3,165,6.035076
3,166,8.709635
3,167,-0.403058
3,168,0.810853
3,169,2.507183
3,170,2.149599
3,171,1.250585
3,172,3.045194
3,173,2.697055
3,174,10.068658
3,175,0.781526
3,176,-0.130842
3,177,0.658726
3,178,-0.129844
3,179,-0.437665
3,180,-0.518826
3,181,4.175213
3,182,3.556832
3,183,1.283421
3,184,3.150082
3,185,1.802551
3,186,2.182241
3,187,0.121366
3,188,-0.48086
3,189,1.936303
3,190,3.886999
3,191,6.49597
3,192,1.743938
3,193,-0.621904
3,194,0.6238
3,195,0.381052
3,196,1.279401
3,197,1.368321
3,198,0.983397
3,199,4.964597
3,200,0.179929
4,5,2.272157
4,6,0.372662
4,7,2.684948
4,8,3.289433
4,9,-1.707569
4,10,0.288012
4,11,-7.255055
4,12,2.154292
4,13,-0.315527
4,14,-2.233124
4,15,3.269421
4,16,4.339644
4,17,3.247525
4,18,-2.690775
4,19,-0.716386
4,20,2.794787
4,21,-0.713841
4,22,0.340527
4,23,0.109307
4,24,-0.305908
4,25,3.562351
4,26,1.013231
4,27,2.635724
4,28,0.220777
4,29,0.310468
4,30,1.154285
4,31,3.846255
4,32,0.618952
4,33,-0.799746
4,34,3.343116
4,35,-1.030743
4,36,-2.88115
4,37,0.148632
4,38,-1.224447
4,39,-1.470184
4,40,-2.299528
4,41,2.439621
4,42,-1.063715
4,43,0.743277
4,44,0.006646
4,45,4.638168
4,46,-4.895495
4,47,-0.942487
4,48,3.688081
4,49,-3.172194
4,50,-3.6953
4,51,0.157402
4,52,-2.292772
4,53,1.746761
4,54,-1.137188
4,55,-6.356312
4,56,-3.074069
4,57,1.898743
4,58,0.362709
4,59,-0.380075
4,60,0.322471
4,61,-0.751173
4,62,0.731431
4,63,2.100496
4,64,4.36852
4,65,0.357196
4,66,-0.991651
4,67,3.299014
4,68,-0.434869
4,69,3.513796
4,70,4.295474
4,71,1.073247
4,72,0.735345
4,73,-0.935524
4,74,0.078002
4,75,0.342169
4,76,-2.339491
4,77,-2.139514
4,78,2.687355
4,79,0.753544
4,80,-1.552799
4,81,-3.30817
4,82,2.72621
4,83,-1.900942
4,84,1.460152
4,85,3.263638
4,86,-0.141189
4,87,1.350419
4,88,-1.020188
4,89,0.945059
4,90,-1.869687
4,91,-0.50243
4,92,-2.695295
4,93,-0.651833
4,94,-0.25947
4,95,-6.285132
4,96,0.071202
4,97,-1.074395
4,98,1.876709
4,99,3.369395
4,100,-0.462128
4,101,0.796117
4,102,-3.391815
4,103,-0.785207
4,104,-0.495254
4,105,-0.56493
4,106,3.151294
4,107,-4.511546
4,108,2.910981
4,109,1.813427
4,110,-0.1076
4,111,-1.493845
4,112,2.041977
4,113,2.727385
4,114,1.191808
4,115,-1.195633
4,116,-3.989895
4,117,1.072542
4,118,-1.061228
4,119,1.277555
4,120,4.01425
4,121,-0.33901
4,122,1.215727
4,123,1.303907
4,124,2.07016
4,125,0.211203
4,126,1.055911
4,127,-0.839724
4,128,3.507786
4,129,0.021801
4,130,-3.09313
4,131,-0.995672
4,132,-0.095641
4,133,1.022203
4,134,-0.778981
4,135,-0.543963
4,136,1.015879
4,137,2.972802
4,138,0.600107
4,139,0.649587
4,140,-0.635856
4,141,-0.229643
4,142,-3.852681
4,143,0.781144
4,144,-2.107502
4,145,3.248793
4,146,-4.278626
4,147,-0.778758
4,148,-3.944779
4,149,-0.204686
4,150,-0.583114
4,151,0.415765
4,152,-1.904593
4,153,-0.200304
4,154,-1.008239
4,155,0.836298
4,156,0.083231
4,157,3.959969
4,158,1.424978
4,159,-0.907814
4,160,-2.854287
4,161,0.055863
4,162,-2.944455
4,163,-0.041308
4,164,2.9709
4,165,2.034834
4,166,1.331918
4,167,1.52426
4,168,-0.842333
4,169,-3.588908
4,170,-0.838999
4,171,-4.0716
4,172,0.395852
4,173,-0.029827
4,174,2.310095
4,175,-0.174453
4,176,1.406626
4,177,2.331342
4,178,2.086999
4,179,-2.008787
4,180,-0.059761
4,181,0.904263
4,182,3.150591
4,183,-0.837673
4,184,0.024208
4,185,-3.763337
4,186,-0.108431
4,187,-0.874746
4,188,-1.57563
4,189,-1.058904
4,190,0.080468
4,191,-0.001308
4,192,3.439084
4,193,0.367546
4,194,-0.6318
4,195,0.058698
4,196,0.400761
4,197,3.261416
4,198,2.061812
4,199,1.548418
4,200,-6.141117
5,6,-0.806376
5,7,-0.048898
5,8,-0.498399
5,9,-2.545559
5,10,-0.876324
5,11,-7.711209
5,12,0.029245
5,13,2.780816
5,14,0.84491
5,15,-0.285107
5,16,-0.078296
5,17,1.726896
5,18,-2.618644
5,19,1.500544
5,20,2.938348
5,21,-1.040979
5,22,4.87741
5,23,2.489853
5,24,-3.568387
5,25,1.979342
5,26,3.887162
5,27,-0.074369
5,28,2.818043
5,29,-0.130526
5,30,4.367412
5,31,-0.122976
5,32,4.054462
5,33,-0.001606
5,34,0.816298
5,35,0.045311
5,36,-3.214405
5,37,2.053353
5,38,-1.959401
5,39,0.705586
5,40,-1.413553
5,41,0.039591
5,42,3.638077
5,43,2.529554
5,44,2.789238
5,45,0.045189
5,46,-5.822618
5,47,-1.865934
5,48,-0.243695
5,49,-1.958428
5,50,-4.263336
5,51,4.434011
5,52,-1.994691
5,53,-1.730955
5,54,-0.463397
5,55,-6.914259
5,56,-3.32709
5,57,0.853428
5,58,3.428969
5,59,3.644185
5,60,-2.508973
5,61,0.666604
5,62,-2.203217
5,63,0.240227
5,64,0.885927
5,65,1.808
5,66,-1.320252
5,67,0.860915
5,68,1.802574
5,69,-0.297236
5,70,-0.109648
5,71,3.60607
5,72,0.123893
5,73,-1.516163
5,74,2.89519
5,75,-0.639983
5,76,-4.806411
5,77,-1.263785
5,78,-0.655034
5,79,-1.894697
5,80,-3.781826
5,81,-3.252511
5,82,-1.128744
5,83,-0.068385
5,84,0.096121
5,85,-0.934931
5,86,0.867099
5,87,5.191105
5,88,-0.500922
5,89,0.605203
5,90,-1.019537
5,91,-2.968739
5,92,-0.922398
5,93,1.586655
5,94,3.526329
5,95,-7.936357
5,96,-1.417197
5,97,-2.832064
5,98,-0.527595
5,99,1.523136
5,100,-2.445203
5,101,-2.169615
5,102,-2.425984
5,103,-1.244368
5,104,1.725631
5,105,-0.736667
5,106,1.874086
5,107,-3.611077
5,108,-0.671167
5,109,-1.676431
5,110,1.805496
5,111,-1.95739
5,112,0.082544
5,113,0.432088
5,114,-1.106516
5,115,-2.866197
5,116,-3.006382
5,117,1.286333
5,118,-1.848081
5,119,-0.72372
5,120,1.111828
5,121,-0.059431
5,122,0.221245
5,123,5.290007
5,124,-0.479084
5,125,0.779411
5,126,4.666682
5,127,-1.914815
5,128,0.746515
5,129,-0.952689
5,130,-4.297043
5,131,0.407443
5,132,0.516505
5,133,3.213616
5,134,-1.321881
5,135,-2.981634
5,136,-1.139752
5,137,-0.472851
5,138,-2.207829
5,139,3.043735
5,140,1.176717
5,141,-0.467802
5,142,-2.411655
5,143,-0.652938
5,144,-0.321638
5,145,-0.394564
5,146,-2.243122
5,147,0.819526
5,148,-3.371444
5,149,1.187809
5,150,-2.47806
5,151,2.707386
5,152,-3.858696
5,153,-0.156071
5,154,0.659328
5,155,-1.557854
5,156,2.495879
5,157,0.152444
5,158,-0.874469
5,159,0.002223
5,160,-4.148242
5,161,-0.496516
5,162,-1.786539
5,163,-3.528565
5,164,2.744963
5,165,-0.008773
5,166,-1.373607
5,167,0.682154
5,168,-2.371777
5,169,-4.234127
5,170,1.90691
5,171,-4.951597
5,172,1.378374
5,173,-1.13619
5,174,0.081291
5,175,2.102177
5,176,5.213963
5,177,0.639585
5,178,1.837396
5,179,-0.89638
5,180,4.972041
5,181,-0.135587
5,182,0.895957
5,183,-0.328797
5,184,1.517947
5,185,-4.214688
5,186,1.675919
5,187,1.819962
5,188,2.715652
5,189,-0.161249
5,190,2.754136
5,191,-3.049481
5,192,0.946521
5,193,-0.709214
5,194,-2.334126
5,195,2.04853
5,196,-1.897418
5,197,1.442654
5,198,1.749578
5,199,-1.67744
5,200,-7.552869
6,7,-0.320164
6,8,0.210528
6,9,-3.763444
6,10,-0.015907
6,11,-4.217094
6,12,-0.374389
6,13,2.924283
6,14,1.167769
6,15,-0.022185
6,16,1.703341
6,17,2.975909
6,18,-0.768993
6,19,2.535254
6,20,3.553728
6,21,-1.823988
6,22,4.563802
6,23,1.931847
6,24,-1.142008
6,25,3.539947
6,26,6.640914
6,27,-1.870629
6,28,3.488076
6,29,0.53402
6,30,2.854605
6,31,0.340047
6,32,5.786762
6,33,1.673422
6,34,1.0081
6,35,-0.902422
6,36,-2.725821
6,37,1.66128
6,38,0.793036
6,39,2.515265
6,40,0.985733
6,41,-0.268544
6,42,1.426065
6,43,5.005061
6,44,1.717026
6,45,1.533473
6,46,-4.301288
6,47,0.288614
6,48,0.057708
6,49,2.035346
6,50,-1.516132
6,51,4.216537
6,52,0.99594
6,53,0.121293
6,54,2.707083
6,55,-3.424402
6,56,-0.493992
6,57,1.188413
6,58,1.833834
6,59,3.025386
6,60,-0.483002
6,61,0.062992
6,62,-0.240491
6,63,-1.002635
6,64,1.292986
6,65,4.554695
6,66,1.079282
6,67,1.398554
6,68,2.906026
6,69,0.140925
6,70,1.639668
6,71,5.544333
6,72,0.318196
6,73,-0.098108
6,74,6.248658
6,75,-2.861601
6,76,-3.663268
6,77,-0.602182
6,78,0.100568
6,79,-0.162836
6,80,-1.119407
6,81,-2.201778
6,82,0.151025
6,83,2.784243
6,84,-0.621704
6,85,1.002507
6,86,3.420275
6,87,4.824005
6,88,0.434095
6,89,0.915713
6,90,2.48069
6,91,-0.598299
6,92,-2.815636
6,93,2.264699
6,94,3.86193
6,95,-7.564662
6,96,-0.243988
6,97,-0.205382
6,98,-0.000751
6,99,2.598216
6,100,-1.792713
6,101,-0.099938
6,102,-0.606339
6,103,1.017411
6,104,1.046461
6,105,1.246047
6,106,1.182394
6,107,0.278616
6,108,1.305235
6,109,0.253183
6,110,1.025825
6,111,0.558872
6,112,-1.45715
6,113,-0.147769
6,114,0.081275
6,115,-0.605785
6,116,-0.872827
6,117,2.93206
6,118,-4.518915
6,119,-1.568972
6,120,2.395409
6,121,-2.927473
6,122,-0.837034
6,123,4.843639
6,124,0.010809
6,125,-1.402279
6,126,4.791905
6,127,0.709893
6,128,1.220263
6,129,-3.381569
6,130,-1.465223
6,131,0.054476
6,132,-1.403173
6,133,4.615125
6,134,-4.13332
6,135,-2.605745
6,136,-0.122279
6,137,0.131005
6,138,0.059672
6,139,1.408397
6,140,0.605313
6,141,-2.135499
6,142,0.4456
6,143,1.367691
6,144,3.571741
6,145,0.158408
6,146,-0.102805
6,147,2.092099
6,148,-0.71416
6,149,1.572777
6,150,-0.528382
6,151,3.738443
6,152,-1.146527
6,153,-2.11944
6,154,4.561738
6,155,-1.660553
6,156,1.353129
6,157,1.551512
6,158,0.978524
6,159,-0.195091
6,160,-1.211685
6,161,0.083292
6,162,2.102622
6,163,-1.173308
6,164,4.267993
6,165,-0.413
6,166,0.019692
6,167,-1.400002
6,168,-0.612429
6,169,-4.628167
6,170,2.155925
6,171,-4.869
6,172,-0.34628
6,173,0.537477
6,174,-0.399606
6,175,1.249113
6,176,5.155704
6,177,0.122744
6,178,0.954573
6,179,2.875719
6,180,4.025038
6,181,-2.271602
6,182,2.611356
6,183,0.176023
6,184,1.939673
6,185,-1.316344
6,186,0.177984
6,187,3.84681
6,188,2.453746
6,189,0.402147
6,190,1.886499
6,191,-0.577943
6,192,0.519485
6,193,-1.809352
6,194,-1.200121
6,195,5.413167
6,196,-2.321556
6,197,1.861648
6,198,3.308988
6,199,0.471658
6,200,-6.934361
7,8,0.330831
7,9,-0.142935
7,10,-0.254521
7,11,-4.529955
7,12,0.226202
7,13,2.495522
7,14,0.429527
7,15,0.1377
7,16,3.294337
7,17,3.943975
7,18,1.678013
7,19,6.613336
7,20,4.306503
7,21,3.472394
7,22,5.29669
7,23,2.271245
7,24,-0.113605
7,25,5.848498
7,26,8.278183
7,27,-0.388007
7,28,4.485926
7,29,0.764131
7,30,8.24524
7,31,0.620385
7,32,7.905856
7,33,2.996832
7,34,1.557054
7,35,-0.06877
7,36,1.373575
7,37,1.781313
7,38,1.970624
7,39,8.3423
7,40,2.705451
7,41,0.006875
7,42,4.109208
7,43,5.666775
7,44,2.846724
7,45,2.05597
7,46,1.294656
7,47,-0.088519
7,48,0.331713
7,49,2.046458
7,50,-2.758485
7,51,4.318967
7,52,3.066878
7,53,3.385515
7,54,2.477604
7,55,-3.346911
7,56,0.92309
7,57,1.741113
7,58,6.080031
7,59,4.233663
7,60,1.396732
7,61,3.912095
7,62,-0.253951
7,63,-0.03844
7,64,1.849805
7,65,5.165595
7,66,0.723406
7,67,5.124993
7,68,9.083857
7,69,0.857186
7,70,2.416545
7,71,8.129333
7,72,0.0379
7,73,1.535832
7,74,8.777859
7,75,-0.303289
7,76,0.715899
7,77,3.673353
7,78,0.096702
7,79,-0.369653
7,80,-0.113006
7,81,4.440859
7,82,0.173764
7,83,6.295029
7,84,0.088588
7,85,2.49332
7,86,1.836798
7,87,10.429738
7,88,-0.466589
7,89,8.96309
7,90,3.179489
7,91,-0.882677
7,92,-1.474796
7,93,5.883172
7,94,3.137723
7,95,0.416428
7,96,-0.91315
7,97,0.256016
7,98,-0.215635
7,99,4.023363
7,100,-0.007825
7,101,-0.270824
7,102,4.873186
7,103,-0.222326
7,104,3.689926
7,105,0.026525
7,106,2.340824
7,107,0.923171
7,108,2.883415
7,109,0.674066
7,110,1.542739
7,111,2.672665
7,112,-0.215927
7,113,0.559316
7,114,-0.249195
7,115,1.213399
7,116,-2.475277
7,117,7.077546
7,118,-2.091563
7,119,3.296369
7,120,4.055001
7,121,0.161181
7,122,0.050585
7,123,11.446865
7,124,-0.1128
7,125,0.964762
7,126,5.268281
7,127,2.389834
7,128,2.385507
7,129,0.596798
7,130,-1.99092
7,131,3.514241
7,132,1.245531
7,133,9.65427
7,134,-1.038665
7,135,4.05011
7,136,-0.568444
7,137,0.216337
7,138,-0.095164
7,139,3.499279
7,140,1.399995
7,141,-0.860825
7,142,-1.364242
7,143,1.644674
7,144,2.947605
7,145,0.251304
7,146,-2.007437
7,147,7.028175
7,148,-2.104566
7,149,1.234448
7,150,-1.159379
7,151,10.6576
7,152,-1.400555
7,153,0.504205
7,154,4.28807
7,155,5.29861
7,156,2.912908
7,157,2.017381
7,158,1.360118
7,159,3.332076
7,160,-0.008241
7,161,-0.273592
7,162,2.590279
7,163,-0.042156
7,164,4.784125
7,165,0.047803
7,166,-0.191385
7,167,1.759655
7,168,3.188104
7,169,0.694538
7,170,1.552165
7,171,0.88253
7,172,1.463243
7,173,0.352029
7,174,0.020139
7,175,1.87209
7,176,9.796413
7,177,4.479149
7,178,5.689247
7,179,3.061536
7,180,4.868606
7,181,-0.145359
7,182,4.299056
7,183,-0.037869
7,184,1.448503
7,185,-2.492885
7,186,3.032479
7,187,8.347463
7,188,2.329844
7,189,2.155753
7,190,3.688046
7,191,-0.173353
7,192,2.387344
7,193,3.12954
7,194,1.674406
7,195,6.597214
7,196,0.937161
7,197,5.94746
7,198,4.929507
7,199,1.202746
7,200,0.373482
8,9,0.397018
8,10,0.192358
8,11,-3.872619
8,12,-1.040581
8,13,4.850709
8,14,0.998347
8,15,0.049269
8,16,1.445541
8,17,1.929589
8,18,2.203189
8,19,8.173185
8,20,2.850329
8,21,3.500837
8,22,6.562405
8,23,4.48508
8,24,-1.000266
8,25,3.247022
8,26,7.481658
8,27,-0.886383
8,28,5.705788
8,29,-0.03076
8,30,7.29106
8,31,-0.029161
8,32,8.800088
8,33,3.668272
8,34,0.107504
8,35,-0.818598
8,36,2.056856
8,37,3.932926
8,38,1.363455
8,39,7.713364
8,40,3.738124
8,41,0.441539
8,42,3.822173
8,43,4.599474
8,44,4.724026
8,45,0.808448
8,46,-0.471492
8,47,0.035257
8,48,-0.036143
8,49,2.673193
8,50,-1.43493
8,51,6.757606
8,52,2.69307
8,53,1.205694
8,54,2.6739
8,55,-2.877152
8,56,0.954151
8,57,0.208951
8,58,5.956382
8,59,6.681454
8,60,0.27887
8,61,5.034323
8,62,-0.480415
8,63,0.44891
8,64,0.526285
8,65,4.563582
8,66,0.758928
8,67,3.137334
8,68,8.341397
8,69,0.218305
8,70,1.027208
8,71,6.096473
8,72,1.353543
8,73,1.447187
8,74,8.304501
8,75,-0.022787
8,76,-0.742844
8,77,5.053487
8,78,0.019402
8,79,-0.366926
8,80,-0.828788
8,81,2.755076
8,82,-0.134293
8,83,6.233372
8,84,0.51681
8,85,0.855966
8,86,3.850053
8,87,8.767629
8,88,1.325796
8,89,5.222554
8,90,3.18007
8,91,-0.725857
8,92,-2.412939
8,93,7.784308
8,94,5.03431
8,95,-2.604983
8,96,0.052848
8,97,-0.119928
8,98,0.297145
8,99,2.55717
8,100,0.123823
8,101,-0.33639
8,102,4.097456
8,103,1.408701
8,104,5.613569
8,105,1.802414
8,106,1.157053
8,107,1.337028
8,108,1.169507
8,109,-0.083537
8,110,3.052061
8,111,1.965593
8,112,0.01068
8,113,-0.647965
8,114,0.434726
8,115,0.411114
8,116,-0.545005
8,117,4.726752
8,118,-2.782956
8,119,2.920689
8,120,2.419079
8,121,-0.577256
8,122,0.217615
8,123,9.239154
8,124,0.190177
8,125,1.270507
8,126,5.262886
8,127,1.384609
8,128,1.346771
8,129,0.206652
