任务编号,取件点坐标X,取件点坐标Y,送达点坐标X,送达点坐标Y,最晚送达时间Tmax（min）
115,4.6,6.49,3.78,5.35,48.3
116,7.65,2.03,7.49,4.44,31.2
117,4.21,7.86,4.45,3.3,46
118,2.68,1.53,1.9,1.9,20.9
119,1.97,5.49,2.27,3.42,47.7
120,4.32,5.67,2.21,2.35,25.5
121,2.18,2.95,2.24,1.62,21.2
122,4.23,2.44,3.55,4.52,40.6
123,1.28,6.6,5.4,1.57,52.9
124,7.45,1.43,2.94,6.64,50.5
125,2.29,2.47,3.59,4.39,36.9
126,3.58,4.24,6.23,1.26,30.2
127,5.99,7.27,4.58,4.72,28.9
128,4.13,4.73,2.7,2.88,32.9
129,1.14,3.25,2.48,3.29,20.9
130,7.23,5.16,5.75,6.52,39.1
131,1.61,4.76,5.11,6.22,34.7
132,1.89,2.99,3.54,5.52,36.4
133,3.49,7.91,5.24,2.66,30.8
134,2.07,2.72,2.12,2.31,24.8
135,2.21,7.28,1.56,4.67,35.7
136,7.88,1.78,3.78,7.79,55
137,6.72,2.81,2.2,5.68,53.9
138,4.9,5,2.96,6.39,28
139,3.27,3.98,4.55,2.7,23.2
140,5.27,3.02,5.07,2.08,34.3
141,4.73,1.36,3.36,1.94,21
142,7.93,3.26,6.67,2.78,43.5
143,6.32,5.17,4.3,3.88,34.2
144,7.51,6.81,7.76,1.87,50.7
145,7.57,2.27,1.47,6.19,46.1
146,6.89,1.98,6.57,2.41,25.5
147,2.15,6.7,5.66,4.66,35.1
148,7.14,3.75,6.72,4.07,32.9
149,4.24,3.11,6.23,4.52,27.5
150,7.3,3.69,4.8,7.35,44.7
151,1.82,7.58,5.39,3.34,31
152,6.56,5.34,4.73,7.26,48
153,2.06,3.18,2.74,6.21,20.7
154,4.99,6.34,7.14,3.39,49.6
155,1.77,6.93,1.89,3.78,47.4
156,2.05,2.6,6.06,6.04,40.8
157,5.86,4.8,2.76,3.42,29.6
158,7.36,5.08,3.81,4.23,54.4
159,2.07,5.1,4.54,5.28,21.4
160,7.1,7.52,4.96,5.88,54.2
161,5.95,2.07,5.03,5.25,35.4
162,6.16,7.54,7.48,4.16,30.3
163,7.89,6.87,1.87,7.45,56.4
164,4.63,5.14,3.79,1.38,34
165,6.62,1.03,3.33,3.79,40.3
166,7.44,3.42,3.43,6.16,40.1
167,2.57,4.17,1.99,2.23,34.6
168,3.93,7.4,3.54,5.06,42.9
169,1.09,5.64,2.25,7.73,25.5
170,3.9,1.6,7.98,4.52,40.1
171,1.47,6.25,2.47,7.29,26.9
172,2.33,1.26,4.3,4.95,21.6
173,6.43,4.17,4.67,4.09,34.5
174,4.92,2.09,2.27,7.03,52.6
175,3.61,2.9,5.51,3.86,20.3
176,2.09,6.01,5.61,1.19,32.4
177,2.62,5.7,1.14,1.73,47.7
178,2.25,5.57,2.67,1.7,30.3
179,6.06,6.99,6.81,3.78,46
180,2.43,3.05,7.27,1.09,24.7
181,2.46,1.19,2.27,5.08,32
182,7.25,6.72,3.39,2.82,40.5
183,5.13,2.88,5.37,3.87,36.2
184,4.05,3.06,7.64,6.35,27.2
185,7.08,4.41,7.26,6.6,36.5
186,1.16,2.88,4.79,5.43,28.1
187,1.98,6.84,7.89,4.68,32.1
188,2.91,1.13,7.4,1.82,37.8
189,2.92,4.88,5.56,6.81,28.1
190,1.08,1.96,7.3,7.12,41.4
191,5.2,5.66,2.23,7.4,36.9
192,3.68,4.63,1.33,2.16,44.5
193,1.58,5.22,2.72,3.73,28.8
194,3.49,6.03,3.08,4.96,35.3
195,5.65,7.56,6.13,2.5,29.1
196,2.84,5.17,1.36,4.47,38.3
197,3.34,6.4,1.75,1.53,47.6
198,4.47,5.82,4.04,2.72,48.2
199,6.6,5.86,2.91,5.13,36.8
200,1.64,7.42,1.96,7.65,34.3
